time,day_of_week,event type,date
,Wednesday,no football game,2019-12-11
,Thursday,no football game,2019-12-12
,Friday,no football game,2019-12-13
,Saturday,no football game,2019-12-14
,Sunday,no football game,2019-12-15
,Monday,no football game,2019-12-16
,Tuesday,no football game,2019-12-17
,Wednesday,no football game,2019-12-18
,Thursday,no football game,2019-12-19
,Friday,no football game,2019-12-20
,Saturday,no football game,2019-12-21
,Sunday,no football game,2019-12-22
,Monday,no football game,2019-12-23
,Tuesday,no football game,2019-12-24
,Wednesday,no football game,2019-12-25
,Thursday,no football game,2019-12-26
,Friday,no football game,2019-12-27
,Saturday,no football game,2019-12-28
,Sunday,no football game,2019-12-29
,Monday,no football game,2019-12-30
,Tuesday,no football game,2019-12-31
,Wednesday,no football game,2020-01-01
,Thursday,no football game,2020-01-02
,Friday,no football game,2020-01-03
,Saturday,no football game,2020-01-04
,Sunday,no football game,2020-01-05
,Monday,no football game,2020-01-06
,Tuesday,no football game,2020-01-07
,Wednesday,no football game,2020-01-08
,Thursday,no football game,2020-01-09
,Friday,no football game,2020-01-10
,Saturday,no football game,2020-01-11
,Sunday,no football game,2020-01-12
,Monday,no football game,2020-01-13
,Tuesday,no football game,2020-01-14
,Wednesday,no football game,2020-01-15
,Thursday,no football game,2020-01-16
,Friday,no football game,2020-01-17
,Saturday,no football game,2020-01-18
,Sunday,no football game,2020-01-19
,Monday,no football game,2020-01-20
,Tuesday,no football game,2020-01-21
,Wednesday,no football game,2020-01-22
,Thursday,no football game,2020-01-23
,Friday,no football game,2020-01-24
,Saturday,no football game,2020-01-25
,Sunday,no football game,2020-01-26
,Monday,no football game,2020-01-27
,Tuesday,no football game,2020-01-28
,Wednesday,no football game,2020-01-29
,Thursday,no football game,2020-01-30
,Friday,no football game,2020-01-31
,Saturday,no football game,2020-02-01
,Sunday,no football game,2020-02-02
,Monday,no football game,2020-02-03
,Tuesday,no football game,2020-02-04
,Wednesday,no football game,2020-02-05
,Thursday,no football game,2020-02-06
,Friday,no football game,2020-02-07
,Saturday,no football game,2020-02-08
,Sunday,no football game,2020-02-09
,Monday,no football game,2020-02-10
,Tuesday,no football game,2020-02-11
,Wednesday,no football game,2020-02-12
,Thursday,no football game,2020-02-13
,Friday,no football game,2020-02-14
,Saturday,no football game,2020-02-15
,Sunday,no football game,2020-02-16
,Monday,no football game,2020-02-17
,Tuesday,no football game,2020-02-18
,Wednesday,no football game,2020-02-19
,Thursday,no football game,2020-02-20
,Friday,no football game,2020-02-21
,Saturday,no football game,2020-02-22
,Sunday,no football game,2020-02-23
,Monday,no football game,2020-02-24
,Tuesday,no football game,2020-02-25
,Wednesday,no football game,2020-02-26
,Thursday,no football game,2020-02-27
,Friday,no football game,2020-02-28
,Saturday,no football game,2020-02-29
,Sunday,no football game,2020-03-01
,Monday,no football game,2020-03-02
,Tuesday,no football game,2020-03-03
,Wednesday,no football game,2020-03-04
,Thursday,no football game,2020-03-05
,Friday,no football game,2020-03-06
,Saturday,no football game,2020-03-07
,Sunday,no football game,2020-03-08
,Monday,no football game,2020-03-09
,Tuesday,no football game,2020-03-10
,Wednesday,no football game,2020-03-11
,Thursday,no football game,2020-03-12
,Friday,no football game,2020-03-13
,Saturday,no football game,2020-03-14
,Sunday,no football game,2020-03-15
,Monday,no football game,2020-03-16
,Tuesday,no football game,2020-03-17
,Wednesday,no football game,2020-03-18
,Thursday,no football game,2020-03-19
,Friday,no football game,2020-03-20
,Saturday,no football game,2020-03-21
,Sunday,no football game,2020-03-22
,Monday,no football game,2020-03-23
,Tuesday,no football game,2020-03-24
,Wednesday,no football game,2020-03-25
,Thursday,no football game,2020-03-26
,Friday,no football game,2020-03-27
,Saturday,no football game,2020-03-28
,Sunday,no football game,2020-03-29
,Monday,no football game,2020-03-30
,Tuesday,no football game,2020-03-31
,Wednesday,no football game,2020-04-01
,Thursday,no football game,2020-04-02
,Friday,no football game,2020-04-03
,Saturday,no football game,2020-04-04
,Sunday,no football game,2020-04-05
,Monday,no football game,2020-04-06
,Tuesday,no football game,2020-04-07
,Wednesday,no football game,2020-04-08
,Thursday,no football game,2020-04-09
,Friday,no football game,2020-04-10
,Saturday,no football game,2020-04-11
,Sunday,no football game,2020-04-12
,Monday,no football game,2020-04-13
,Tuesday,no football game,2020-04-14
,Wednesday,no football game,2020-04-15
,Thursday,no football game,2020-04-16
,Friday,no football game,2020-04-17
,Saturday,no football game,2020-04-18
,Sunday,no football game,2020-04-19
,Monday,no football game,2020-04-20
,Tuesday,no football game,2020-04-21
,Wednesday,no football game,2020-04-22
,Thursday,no football game,2020-04-23
,Friday,no football game,2020-04-24
,Saturday,no football game,2020-04-25
,Sunday,no football game,2020-04-26
,Monday,no football game,2020-04-27
,Tuesday,no football game,2020-04-28
,Wednesday,no football game,2020-04-29
,Thursday,no football game,2020-04-30
,Friday,no football game,2020-05-01
,Saturday,no football game,2020-05-02
,Sunday,no football game,2020-05-03
,Monday,no football game,2020-05-04
,Tuesday,no football game,2020-05-05
,Wednesday,no football game,2020-05-06
,Thursday,no football game,2020-05-07
,Friday,no football game,2020-05-08
,Saturday,no football game,2020-05-09
,Sunday,no football game,2020-05-10
,Monday,no football game,2020-05-11
,Tuesday,no football game,2020-05-12
,Wednesday,no football game,2020-05-13
,Thursday,no football game,2020-05-14
,Friday,no football game,2020-05-15
,Saturday,no football game,2020-05-16
,Sunday,no football game,2020-05-17
,Monday,no football game,2020-05-18
,Tuesday,no football game,2020-05-19
,Wednesday,no football game,2020-05-20
,Thursday,no football game,2020-05-21
,Friday,no football game,2020-05-22
,Saturday,no football game,2020-05-23
,Sunday,no football game,2020-05-24
,Monday,no football game,2020-05-25
,Tuesday,no football game,2020-05-26
,Wednesday,no football game,2020-05-27
,Thursday,no football game,2020-05-28
,Friday,no football game,2020-05-29
,Saturday,no football game,2020-05-30
,Sunday,no football game,2020-05-31
,Monday,no football game,2020-06-01
,Tuesday,no football game,2020-06-02
,Wednesday,no football game,2020-06-03
,Thursday,no football game,2020-06-04
,Friday,no football game,2020-06-05
,Saturday,no football game,2020-06-06
,Sunday,no football game,2020-06-07
,Monday,no football game,2020-06-08
,Tuesday,no football game,2020-06-09
,Wednesday,no football game,2020-06-10
,Thursday,no football game,2020-06-11
,Friday,no football game,2020-06-12
,Saturday,no football game,2020-06-13
,Sunday,no football game,2020-06-14
,Monday,no football game,2020-06-15
,Tuesday,no football game,2020-06-16
,Wednesday,no football game,2020-06-17
